Réf. Part.;Type partenaire;Code EPJ;RS EPJ;Adresse EPJ;Forçage;Motif forçage;Date forçage;Client;Statut;Taux;Code département;Denom part.;Adresse part.;CP part.;Ville part.;Blacklistage;Motif blacklistage;Date blacklistage
EG0425268;;54540292;"Optical Center";"3 pl Jules Ferry 92120 Montrouge";;;;09324735;Annonceur Module;Taux 2;092;"Optical Center - MONTROUGE";"3 5 Place Jules Ferry";92120;"MONTROUGE";;;
EG0425269;;54648277;"Optical Center";"2 r Plaine 02400 CHATEAU THIERRY";;;;09324735;Annonceur Module;Taux 2;002;"Optical Center - CHÂTEAU-THIERRY";"2 Rue de la Plaine";02400;"CHATEAU THIERRY";;;
EG0425270;;52915910;"Optical Center";"zac Orée de Sologne 18100 Vierzon";;;;09324735;Annonceur Module;Taux 2;018;"Optical Center - VIERZON";"Chemin de l'Ardillat";18100;"Vierzon";;;
EG0425271;;53863443;"Optical Center";"8 av Berry 23000 Guéret";;;;09324735;Annonceur Module;Taux 2;023;"Optical Center - GUÉRET";"8 Avenue du Berry";23000;"GUÉRET";;;
EG0425272;;54319283;"Audioprothésiste SAINT-DIE-DES-VOSGES Optical Center";"4 r Alphonse Matter 88100 SAINT DIE DES VOSGES";;;;53550706;Annonceur Module;Taux 2;088;"Optical Center - SAINT-DIÉ-DES-VOSGES";"Rond point Albert Camus";88100;"SAINT-DIÉ-DES-VOSGES";;;
EG0425273;;54540315;"Optical Center FRANCHEVILLE - BEL AIR";"34 av Table de Pierre 69340 Francheville";;;;09324735;Annonceur Module;Taux 2;069;"Optical Center - FRANCHEVILLE - BEL AIR";"34 Avenue de la Table de Pierre";69340;"FRANCHEVILLE";;;
EG0425274;;54651941;"Optical Center AURAY";"5 r Belgique 56400 AURAY";;;;09324735;Annonceur Module;Taux 2;056;"Optical Center - AURAY";"5 Rue de Belgique";56400;"AURAY";;;
EG0425276;;54912438;"Optical Center";"Pole Europ Developpement 54350 MONT SAINT MARTIN";;;;09324735;Annonceur Module;Taux 2;054;"Optical Center - LONGWY - MONT-SAINT-MARTIN";"Pôle Européen   ZAC des trois frontières";54350;"MONT-SAINT-MARTIN";;;
EG0425277;;50259404;"Optical Center Brive-La-Gaillarde";"33 av Jean Charles Rivet 19100 BRIVE LA GAILLARDE";;;;09324735;Annonceur Module;Taux 2;019;"Optical Center - BRIVE-LA-GAILLARDE";"33 Avenue Jean Charles Rivet";19100;"BRIVE LA GAILLARDE";;;
EG0425278;;54582494;"Optical Center";"4 av Fourneaux 17690 ANGOULINS";;;;09324735;Annonceur Module;Taux 2;017;"Optical Center - ANGOULINS";"4 Avenue des Fourneaux";17690;"ANGOULINS";;;
EG0425279;;55398077;"Optical Center";"212   che Delphiniums 83190 Ollioules";;;;09324735;Annonceur Module;Taux 2;083;"Optical Center - OLLIOULES";"212 Impasse des Delphiniums  Espace Mermoz";83190;"OLLIOULES";;;
